date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:23	110548/110548	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/index.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/index-2.html	(from http://altair_html.tzdthemes.com/)
18:14:23	407/407	---M--	200	added ('OK')	image/png	etag:%225807f37e-197%22	http://altair_html.tzdthemes.com/assets/img/logo_main_white.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/logo_main_white.png	(from http://altair_html.tzdthemes.com/)
18:14:24	461/461	---M--	200	added ('OK')	image/png	etag:%225807f37e-1cd%22	http://altair_html.tzdthemes.com/assets/img/logo_main_small.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/logo_main_small.png	(from http://altair_html.tzdthemes.com/)
18:14:24	1315/1315	---M--	200	added ('OK')	image/png	etag:%225807f37e-523%22	http://altair_html.tzdthemes.com/assets/img/logo_main_small_light.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/logo_main_small_light.png	(from http://altair_html.tzdthemes.com/)
18:14:24	53096/53096	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202016%2009:57:25%20GMT	http://altair_html.tzdthemes.com/page_chat_small.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/page_chat_small.html	(from http://altair_html.tzdthemes.com/)
18:14:25	54486/54486	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:24%20GMT	http://altair_html.tzdthemes.com/page_sticky_notes.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/page_sticky_notes.html	(from http://altair_html.tzdthemes.com/)
18:14:25	60630/60630	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_advanced.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_advanced.html	(from http://altair_html.tzdthemes.com/)
18:14:25	67389/67389	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_regular.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_regular.html	(from http://altair_html.tzdthemes.com/)
18:14:26	54605/54605	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_dynamic.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_dynamic.html	(from http://altair_html.tzdthemes.com/)
18:14:26	48046/48046	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_file_upload.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_file_upload.html	(from http://altair_html.tzdthemes.com/)
18:14:26	49135/49135	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_file_input.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_file_input.html	(from http://altair_html.tzdthemes.com/)
18:14:27	53489/53489	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_validation.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_validation.html	(from http://altair_html.tzdthemes.com/)
18:14:27	47923/47923	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_wysiwyg_ckeditor.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_wysiwyg_ckeditor.html	(from http://altair_html.tzdthemes.com/)
18:14:27	70864/70864	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_wizard.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_wizard.html	(from http://altair_html.tzdthemes.com/)
18:14:28	47972/47972	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_wysiwyg_tinymce.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_wysiwyg_tinymce.html	(from http://altair_html.tzdthemes.com/)
18:14:28	47751/47751	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/forms_wysiwyg_inline.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/forms_wysiwyg_inline.html	(from http://altair_html.tzdthemes.com/)
18:14:28	39471/39471	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/layout_top_menu.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/layout_top_menu.html	(from http://altair_html.tzdthemes.com/)
18:14:29	50669/50669	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_autocomplete.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_autocomplete.html	(from http://altair_html.tzdthemes.com/)
18:14:30	47155/47155	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_calendar.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_calendar.html	(from http://altair_html.tzdthemes.com/)
18:14:30	47897/47897	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/layout_header_full.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/layout_header_full.html	(from http://altair_html.tzdthemes.com/)
18:14:30	49810/49810	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_colorpicker.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_colorpicker.html	(from http://altair_html.tzdthemes.com/)
18:14:30	51741/51741	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_combobox.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_combobox.html	(from http://altair_html.tzdthemes.com/)
18:14:30	48075/48075	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_datepicker.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_datepicker.html	(from http://altair_html.tzdthemes.com/)
18:14:31	48572/48572	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_dropdown_list.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_dropdown_list.html	(from http://altair_html.tzdthemes.com/)
18:14:31	49466/49466	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_datetimepicker.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_datetimepicker.html	(from http://altair_html.tzdthemes.com/)
18:14:31	48663/48663	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_masked_input.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_masked_input.html	(from http://altair_html.tzdthemes.com/)
18:14:32	54893/54893	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_menu.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_menu.html	(from http://altair_html.tzdthemes.com/)
18:14:32	50536/50536	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_multiselect.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_multiselect.html	(from http://altair_html.tzdthemes.com/)
18:14:33	48656/48656	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_numeric_textbox.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_numeric_textbox.html	(from http://altair_html.tzdthemes.com/)
18:14:33	48961/48961	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_timepicker.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_timepicker.html	(from http://altair_html.tzdthemes.com/)
18:14:33	49084/49084	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_toolbar.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_toolbar.html	(from http://altair_html.tzdthemes.com/)
18:14:34	49267/49267	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_panelbar.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_panelbar.html	(from http://altair_html.tzdthemes.com/)
18:14:34	48445/48445	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/kendoui_window.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/kendoui_window.html	(from http://altair_html.tzdthemes.com/)
18:14:34	47933/47933	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/components_autocomplete.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/components_autocomplete.html	(from http://altair_html.tzdthemes.com/)
18:14:35	51609/51609	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/components_fab.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/components_fab.html	(from http://altair_html.tzdthemes.com/)
18:14:35	55340/55340	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/components_breadcrumbs.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/components_breadcrumbs.html	(from http://altair_html.tzdthemes.com/)
18:14:36	130829/130829	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/components_colors.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/components_colors.html	(from http://altair_html.tzdthemes.com/)
18:14:36	69814/69814	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/components_dropdowns.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/components_dropdowns.html	(from http://altair_html.tzdthemes.com/)
